magnitude,alpha,beta,b_star,stability
1.0,0.5,0.05,3.2029063375575073e-12,0
1.0,0.5,0.09736842105263158,-3.287233820308268e-09,0
1.0,0.5,0.14473684210526316,-8.181968045807499e-11,0
1.0,0.5,0.19210526315789472,-1.8638600542441676e-09,0
1.0,0.5,0.23947368421052628,-3.761518685946388e-10,0
1.0,0.5,0.28684210526315784,-1.273424692435597e-10,0
1.0,0.5,0.33421052631578946,-3.3743833018550805e-11,0
1.0,0.5,0.381578947368421,9.017717455218897e-11,0
1.0,0.5,0.4289473684210526,-3.373028066921709e-11,0
1.0,0.5,0.47631578947368414,9.477401926484721e-12,0
1.0,0.5,0.5236842105263158,6.484092888243153e-13,0
1.0,0.5,0.5710526315789474,4.801535259211947e-12,0
1.0,0.5,0.618421052631579,-5.262615607948828e-16,0
1.0,0.5,0.6657894736842105,-9.874358129029155e-15,0
1.0,0.5,0.7131578947368421,-7.19015429286416e-15,0
1.0,0.5,0.7605263157894736,-2.404340910607147e-14,0
1.0,0.5,0.8078947368421052,-1.0795330740769689e-13,0
1.0,0.5,0.8552631578947368,-1.7486567119473073e-13,0
1.0,0.5,0.9026315789473683,-4.96641509264543e-13,0
1.0,0.5,0.95,-9.894798396726301e-13,0
1.0,0.6052631578947368,0.05,4.0790443582291316e-11,0
1.0,0.6052631578947368,0.09736842105263158,1.0249025483103862e-09,0
1.0,0.6052631578947368,0.14473684210526316,-5.738169259478151e-12,0
1.0,0.6052631578947368,0.19210526315789472,4.747996338346927e-10,0
1.0,0.6052631578947368,0.23947368421052628,1.1068842140211111e-11,0
1.0,0.6052631578947368,0.28684210526315784,-1.6513294349397032e-10,0
1.0,0.6052631578947368,0.33421052631578946,-2.8258908915715945e-12,0
1.0,0.6052631578947368,0.381578947368421,2.2720052454106418e-10,0
1.0,0.6052631578947368,0.4289473684210526,2.2709436753855285e-12,0
1.0,0.6052631578947368,0.47631578947368414,7.463803789294077e-13,0
1.0,0.6052631578947368,0.5236842105263158,-6.559307355010559e-13,0
1.0,0.6052631578947368,0.5710526315789474,4.417648410857037e-13,0
1.0,0.6052631578947368,0.618421052631579,6.358722853344536e-14,0
1.0,0.6052631578947368,0.6657894736842105,-1.7285405058976622e-15,0
1.0,0.6052631578947368,0.7131578947368421,-3.3246369409228167e-15,0
1.0,0.6052631578947368,0.7605263157894736,-2.2729098411578666e-14,0
1.0,0.6052631578947368,0.8078947368421052,-6.449336918612165e-14,0
1.0,0.6052631578947368,0.8552631578947368,-1.8598942185492948e-13,0
1.0,0.6052631578947368,0.9026315789473683,-5.074477373357961e-13,0
1.0,0.6052631578947368,0.95,-1.0246169507620106e-12,0
1.0,0.7105263157894737,0.05,-1.7652831141672562e-08,0
1.0,0.7105263157894737,0.09736842105263158,-1.570253058198918e-10,0
1.0,0.7105263157894737,0.14473684210526316,-1.472292939489271e-11,0
1.0,0.7105263157894737,0.19210526315789472,-2.9026165286793424e-10,0
1.0,0.7105263157894737,0.23947368421052628,-6.83988544285363e-11,0
1.0,0.7105263157894737,0.28684210526315784,-2.4467772178808025e-10,0
1.0,0.7105263157894737,0.33421052631578946,-1.4398016156043676e-11,0
1.0,0.7105263157894737,0.381578947368421,7.414864149167868e-12,0
1.0,0.7105263157894737,0.4289473684210526,-6.516897058040493e-13,0
1.0,0.7105263157894737,0.47631578947368414,2.868891915874123e-13,0
1.0,0.7105263157894737,0.5236842105263158,-7.01813449091593e-14,0
1.0,0.7105263157894737,0.5710526315789474,-3.0014389857738485e-13,0
1.0,0.7105263157894737,0.618421052631579,1.0703723877500315e-13,0
1.0,0.7105263157894737,0.6657894736842105,1.2278107407137982e-14,0
1.0,0.7105263157894737,0.7131578947368421,1.8583370747498067e-15,0
1.0,0.7105263157894737,0.7605263157894736,-6.914298614009069e-15,0
1.0,0.7105263157894737,0.8078947368421052,-9.170078414352232e-14,0
1.0,0.7105263157894737,0.8552631578947368,-2.470792895669826e-13,0
1.0,0.7105263157894737,0.9026315789473683,-5.91445398231189e-13,0
1.0,0.7105263157894737,0.95,-1.0847654258867057e-12,0
1.0,0.8157894736842105,0.05,6.483311030199179e-10,0
1.0,0.8157894736842105,0.09736842105263158,-2.9665544348181665e-09,0
1.0,0.8157894736842105,0.14473684210526316,2.32238705710473e-12,0
1.0,0.8157894736842105,0.19210526315789472,6.860123464604303e-10,0
1.0,0.8157894736842105,0.23947368421052628,4.406364441215108e-11,0
1.0,0.8157894736842105,0.28684210526315784,5.838200484709567e-12,0
1.0,0.8157894736842105,0.33421052631578946,4.93410024027315e-12,0
1.0,0.8157894736842105,0.381578947368421,7.850743930803709e-12,0
1.0,0.8157894736842105,0.4289473684210526,2.083850797571774e-12,0
1.0,0.8157894736842105,0.47631578947368414,-1.418627783349023e-14,0
1.0,0.8157894736842105,0.5236842105263158,-5.555008571722443e-13,0
1.0,0.8157894736842105,0.5710526315789474,7.043266577703545e-14,0
1.0,0.8157894736842105,0.618421052631579,-5.997397141303324e-14,0
1.0,0.8157894736842105,0.6657894736842105,-2.8201673143148237e-15,0
1.0,0.8157894736842105,0.7131578947368421,-7.282761315288478e-16,0
1.0,0.8157894736842105,0.7605263157894736,-8.849852605445622e-15,0
1.0,0.8157894736842105,0.8078947368421052,-9.052168275284382e-14,0
1.0,0.8157894736842105,0.8552631578947368,-1.527204570712024e-13,0
1.0,0.8157894736842105,0.9026315789473683,-6.541325055106319e-13,0
1.0,0.8157894736842105,0.95,-1.1538686493577539e-12,0
1.0,0.9210526315789473,0.05,3.067833651655156e-11,0
1.0,0.9210526315789473,0.09736842105263158,1.8854060232739404e-09,0
1.0,0.9210526315789473,0.14473684210526316,7.002717962909162e-11,0
1.0,0.9210526315789473,0.19210526315789472,2.564891981829266e-12,0
1.0,0.9210526315789473,0.23947368421052628,-3.1228725892071716e-11,0
1.0,0.9210526315789473,0.28684210526315784,-6.1502096443966e-11,0
1.0,0.9210526315789473,0.33421052631578946,1.1646531306444284e-11,0
1.0,0.9210526315789473,0.381578947368421,9.723580910607837e-13,0
1.0,0.9210526315789473,0.4289473684210526,2.9780510161505197e-12,0
1.0,0.9210526315789473,0.47631578947368414,6.70171412105909e-13,0
1.0,0.9210526315789473,0.5236842105263158,-1.9292380771830993e-13,0
1.0,0.9210526315789473,0.5710526315789474,-1.1744608847291887e-13,0
1.0,0.9210526315789473,0.618421052631579,-5.1655471970290626e-14,0
1.0,0.9210526315789473,0.6657894736842105,-1.3330089076669297e-14,0
1.0,0.9210526315789473,0.7131578947368421,-2.202279220298765e-15,0
1.0,0.9210526315789473,0.7605263157894736,-2.977194761676509e-14,0
1.0,0.9210526315789473,0.8078947368421052,-9.621129506915195e-14,0
1.0,0.9210526315789473,0.8552631578947368,-2.4156704734171426e-13,0
1.0,0.9210526315789473,0.9026315789473683,-6.808370685334387e-13,0
1.0,0.9210526315789473,0.95,-1.3003828972478756e-12,0
1.0,1.026315789473684,0.05,2.5584639517970537e-10,0
1.0,1.026315789473684,0.09736842105263158,-6.5571595789492806e-12,0
1.0,1.026315789473684,0.14473684210526316,2.1721902683951943e-11,0
1.0,1.026315789473684,0.19210526315789472,-9.931853219536946e-12,0
1.0,1.026315789473684,0.23947368421052628,6.386522232414626e-11,0
1.0,1.026315789473684,0.28684210526315784,-4.10623898755043e-11,0
1.0,1.026315789473684,0.33421052631578946,-1.2086184400510238e-11,0
1.0,1.026315789473684,0.381578947368421,5.712836302709562e-12,0
1.0,1.026315789473684,0.4289473684210526,-7.352523551783891e-13,0
1.0,1.026315789473684,0.47631578947368414,1.0343875219415741e-13,0
1.0,1.026315789473684,0.5236842105263158,-4.080743610562101e-14,0
1.0,1.026315789473684,0.5710526315789474,5.251809554130196e-15,0
1.0,1.026315789473684,0.618421052631579,-3.78838838585998e-15,0
1.0,1.026315789473684,0.6657894736842105,-6.81609722256976e-15,0
1.0,1.026315789473684,0.7131578947368421,1.7917047629109187e-14,0
1.0,1.026315789473684,0.7605263157894736,-2.3894712548248607e-14,0
1.0,1.026315789473684,0.8078947368421052,-9.783236877433e-14,0
1.0,1.026315789473684,0.8552631578947368,-1.978085100358476e-13,0
1.0,1.026315789473684,0.9026315789473683,-3.9205305104280644e-13,0
1.0,1.026315789473684,0.95,-1.2770797727636462e-12,0
1.0,1.131578947368421,0.05,1.5783601530187494e-10,0
1.0,1.131578947368421,0.09736842105263158,3.4128279352176137e-10,0
1.0,1.131578947368421,0.14473684210526316,5.713021784842463e-12,0
1.0,1.131578947368421,0.19210526315789472,-1.9106432120733362e-12,0
1.0,1.131578947368421,0.23947368421052628,-2.8910158922851635e-12,0
1.0,1.131578947368421,0.28684210526315784,-1.0079082284512777e-11,0
1.0,1.131578947368421,0.33421052631578946,2.79861961123633e-12,0
1.0,1.131578947368421,0.381578947368421,-6.288898365634718e-12,0
1.0,1.131578947368421,0.4289473684210526,-3.1910567465952306e-13,0
1.0,1.131578947368421,0.47631578947368414,-2.958838628182588e-14,0
1.0,1.131578947368421,0.5236842105263158,3.09563960721443e-14,0
1.0,1.131578947368421,0.5710526315789474,2.112378475350284e-14,0
1.0,1.131578947368421,0.618421052631579,-1.1720986257306206e-15,0
1.0,1.131578947368421,0.6657894736842105,-1.348974597132767e-14,0
1.0,1.131578947368421,0.7131578947368421,-1.3092705626038935e-14,0
1.0,1.131578947368421,0.7605263157894736,-3.4166988202548457e-14,0
1.0,1.131578947368421,0.8078947368421052,-8.434379155400465e-14,0
